run_id,model,augment,shots,training_seed,selection_seed,max_steps,top1,balanced_accuracy,macro_f1,wall_seconds,peak_gpu_gb,train_manifest_hash,git_sha
cifar100_shot10_seed0_convnext_t_cutmix_seed0,convnext_t,cutmix,10,0,0,4000,0.1385,0.1385,0.1262619452866639,140.11,0.693,8084e78af811a867,940088e
cifar100_shot10_seed0_convnext_t_cutmix_seed1,convnext_t,cutmix,10,1,0,4000,0.138,0.138,0.12523968873314667,140.2,0.693,8084e78af811a867,940088e
cifar100_shot10_seed0_convnext_t_cutmix_seed2,convnext_t,cutmix,10,2,0,4000,0.1354,0.1354,0.1222110905747248,140.58,0.693,8084e78af811a867,940088e
cifar100_shot10_seed0_convnext_t_cutmix_seed3,convnext_t,cutmix,10,3,0,4000,0.1373,0.13730000000000003,0.1242136894023533,141.44,0.693,8084e78af811a867,940088e
cifar100_shot10_seed0_convnext_t_cutmix_seed4,convnext_t,cutmix,10,4,0,4000,0.1357,0.13570000000000002,0.12268705944774855,141.71,0.693,8084e78af811a867,940088e
cifar100_shot10_seed0_convnext_t_mixup_seed0,convnext_t,mixup,10,0,0,4000,0.121,0.12099999999999998,0.11481774572283956,140.02,0.693,8084e78af811a867,940088e
cifar100_shot10_seed0_convnext_t_mixup_seed1,convnext_t,mixup,10,1,0,4000,0.1275,0.1275,0.11911228686438498,139.97,0.693,8084e78af811a867,940088e
cifar100_shot10_seed0_convnext_t_mixup_seed2,convnext_t,mixup,10,2,0,4000,0.1213,0.1213,0.1137474964799376,141.39,0.693,8084e78af811a867,940088e
cifar100_shot10_seed0_convnext_t_mixup_seed3,convnext_t,mixup,10,3,0,4000,0.1213,0.12129999999999998,0.1132154052705563,141.33,0.693,8084e78af811a867,940088e
cifar100_shot10_seed0_convnext_t_mixup_seed4,convnext_t,mixup,10,4,0,4000,0.1258,0.1258,0.11817406557853824,141.85,0.693,8084e78af811a867,940088e
cifar100_shot10_seed0_convnext_t_none_seed0,convnext_t,none,10,0,0,4000,0.1063,0.1063,0.10343751757545645,138.51,0.692,8084e78af811a867,940088e
cifar100_shot10_seed0_convnext_t_none_seed1,convnext_t,none,10,1,0,4000,0.1213,0.1213,0.11729260623863275,138.56,0.692,8084e78af811a867,940088e
cifar100_shot10_seed0_convnext_t_none_seed2,convnext_t,none,10,2,0,4000,0.1119,0.1119,0.10818965749884668,138.78,0.692,8084e78af811a867,940088e
cifar100_shot10_seed0_convnext_t_none_seed3,convnext_t,none,10,3,0,4000,0.1144,0.11440000000000002,0.11075524716255987,137.89,0.692,8084e78af811a867,940088e
cifar100_shot10_seed0_convnext_t_none_seed4,convnext_t,none,10,4,0,4000,0.1136,0.11359999999999999,0.11082714109765139,139.46,0.692,8084e78af811a867,940088e
cifar100_shot10_seed0_convnext_t_randaugment_seed0,convnext_t,randaugment,10,0,0,4000,0.01,0.01,0.00019801980198019803,154.68,0.692,8084e78af811a867,940088e
cifar100_shot10_seed0_convnext_t_randaugment_seed1,convnext_t,randaugment,10,1,0,4000,0.1431,0.1431,0.13239916559313844,162.54,0.692,8084e78af811a867,940088e
cifar100_shot10_seed0_convnext_t_randaugment_seed2,convnext_t,randaugment,10,2,0,4000,0.1394,0.1394,0.12813429989996294,162.14,0.692,8084e78af811a867,940088e
cifar100_shot10_seed0_convnext_t_randaugment_seed3,convnext_t,randaugment,10,3,0,4000,0.1422,0.1422,0.129649002710533,162.45,0.692,8084e78af811a867,940088e
cifar100_shot10_seed0_convnext_t_randaugment_seed4,convnext_t,randaugment,10,4,0,4000,0.1418,0.1418,0.13145781843330037,161.31,0.692,8084e78af811a867,940088e
cifar100_shot10_seed0_resnet50_cutmix_seed0,resnet50,cutmix,10,0,0,4000,0.1431,0.14309999999999998,0.13764299698537108,129.93,0.984,8084e78af811a867,940088e
cifar100_shot10_seed0_resnet50_cutmix_seed1,resnet50,cutmix,10,1,0,4000,0.1356,0.13560000000000003,0.13216248471094602,130.11,0.984,8084e78af811a867,940088e
cifar100_shot10_seed0_resnet50_cutmix_seed2,resnet50,cutmix,10,2,0,4000,0.1375,0.1375,0.1325091693686149,130.2,0.984,8084e78af811a867,940088e
cifar100_shot10_seed0_resnet50_cutmix_seed3,resnet50,cutmix,10,3,0,4000,0.1402,0.1402,0.13337024166860662,130.23,0.984,8084e78af811a867,940088e
cifar100_shot10_seed0_resnet50_cutmix_seed4,resnet50,cutmix,10,4,0,4000,0.1441,0.1441,0.13884032201517152,130.21,0.984,8084e78af811a867,940088e
cifar100_shot10_seed0_resnet50_mixup_seed0,resnet50,mixup,10,0,0,4000,0.1667,0.16669999999999996,0.15432509438291386,129.76,0.983,8084e78af811a867,940088e
cifar100_shot10_seed0_resnet50_mixup_seed1,resnet50,mixup,10,1,0,4000,0.1659,0.16590000000000005,0.15344316555271667,129.65,0.983,8084e78af811a867,940088e
cifar100_shot10_seed0_resnet50_mixup_seed2,resnet50,mixup,10,2,0,4000,0.1668,0.1668,0.1539964238784642,130.04,0.983,8084e78af811a867,940088e
cifar100_shot10_seed0_resnet50_mixup_seed3,resnet50,mixup,10,3,0,4000,0.1645,0.16449999999999995,0.1533129909982538,129.4,0.983,8084e78af811a867,940088e
cifar100_shot10_seed0_resnet50_mixup_seed4,resnet50,mixup,10,4,0,4000,0.1673,0.16729999999999998,0.15616128167122967,129.9,0.983,8084e78af811a867,940088e
cifar100_shot10_seed0_resnet50_none_seed0,resnet50,none,10,0,0,4000,0.1356,0.13560000000000005,0.1297624991852774,128.26,0.984,8084e78af811a867,940088e
cifar100_shot10_seed0_resnet50_none_seed1,resnet50,none,10,1,0,4000,0.1349,0.1349,0.12810550406997176,127.86,0.984,8084e78af811a867,940088e
cifar100_shot10_seed0_resnet50_none_seed2,resnet50,none,10,2,0,4000,0.1357,0.13570000000000002,0.1288991133693224,127.9,0.984,8084e78af811a867,940088e
cifar100_shot10_seed0_resnet50_none_seed3,resnet50,none,10,3,0,4000,0.1342,0.1342,0.12810800400920697,128.08,0.984,8084e78af811a867,940088e
cifar100_shot10_seed0_resnet50_none_seed4,resnet50,none,10,4,0,4000,0.1341,0.1341,0.1272368734400001,128.11,0.984,8084e78af811a867,940088e
cifar100_shot10_seed0_resnet50_randaugment_seed0,resnet50,randaugment,10,0,0,4000,0.163,0.163,0.15458900857166824,150.35,0.984,8084e78af811a867,940088e
